target_id 	 SRR5133628 	 SRR5133629 	 SRR5133630 	        SRR5133631 	 SRR5133632 	 SRR5133633 	 SRR5133634 	 SRR5133635 	 SRR5133636 
CL1046.Contig3	19	28	32	13	1	14	9	14	28
CL1046.Contig4	3	2	4	1	3	10	5	3	3
CL1046.Contig5	10	15	18	20	18	16	12	24	14
CL1046.Contig6	33	21	25	22	24	19	19	18	21
CL1046.Contig7	37	38	66	52	53	60	46	48	54
CL1046.Contig8	48	47	28	51	46	34	65	53	38
CL1047.Contig1	34	24	23	16	6	7	7	0	14
CL1047.Contig10	0	0	0	0	0	3	0	5	0
CL1047.Contig11	0	0	6	8	15	17	5	10	16
CL1047.Contig12	0	11	8	9	0	8	5	8	5
CL1047.Contig13	0	0	0	2	6	0	1	4	0
CL1047.Contig14	18	16	19	15	17	13	15	14	13
CL1047.Contig15	8	12	9	7	12	8	12	5	11
CL1047.Contig2	1	0	8	7	7	5	3	6	0
CL1047.Contig3	3	3	5	6	0	0	0	0	0
CL1047.Contig4	0	0	0	0	0	0	0	0	0
CL1047.Contig5	73	79	69	64	79	64	78	89	66
CL1047.Contig6	1	0	0	0	0	0	6	0	0
CL1047.Contig7	0	0	0	5	0	0	0	0	3
CL1047.Contig8	0	0	0	0	0	0	0	0	0
CL1047.Contig9	0	0	0	0	0	0	3	0	0
CL1048.Contig1	25	28	16	16	12	13	20	13	20
CL1048.Contig2	0	0	0	0	0	0	0	0	0
CL1048.Contig3	14	7	13	12	18	19	16	10	9
CL1048.Contig4	7	6	15	15	7	21	31	8	19
CL1048.Contig5	18	28	16	10	7	16	19	22	11
CL1048.Contig6	1	0	11	0	0	0	1	0	0
CL1049.Contig1	235	254	225	261	227	208	225	303	286
CL1049.Contig2	18	14	14	15	16	12	16	17	14
CL105.Contig1	5	3	7	12	36	6	28	31	9
CL105.Contig10	0	2	0	0	0	15	0	1	0
CL105.Contig11	0	0	0	0	0	0	0	0	0
CL105.Contig12	0	0	0	0	0	0	0	0	0
CL105.Contig13	1	11	8	18	3	2	26	3	10
CL105.Contig14	1	2	3	7	20	0	11	15	1
CL105.Contig15	1	0	5	3	7	13	3	2	1
CL105.Contig16	0	4	3	4	2	0	2	5	1
CL105.Contig17	0	7	6	4	6	6	6	4	1
CL105.Contig18	0	0	0	0	0	0	0	0	0
CL105.Contig19	3	12	14	16	18	0	17	18	3
CL105.Contig2	28	38	64	40	29	33	54	42	29
CL105.Contig20	0	0	0	0	0	0	0	0	0
CL105.Contig21	25	33	58	70	67	69	86	31	58
CL105.Contig22	15	11	24	14	34	7	6	51	5
CL105.Contig23	0	0	0	0	0	0	0	0	0
CL105.Contig24	11	5	15	14	17	31	3	25	2
CL105.Contig25	0	0	0	0	0	0	0	0	0
CL105.Contig26	0	1	1	7	11	0	6	7	0
CL105.Contig27	0	0	0	0	0	0	0	0	0
CL105.Contig3	5	10	13	16	5	25	10	8	16
CL105.Contig4	0	0	0	3	13	0	4	6	0
CL105.Contig5	0	0	0	0	0	2	0	1	0
CL105.Contig6	3	0	2	6	21	18	2	20	3
CL105.Contig7	1	2	2	18	28	6	23	13	10
CL105.Contig8	7	27	21	57	22	31	43	17	31
CL105.Contig9	14	0	0	0	39	1	0	24	0
CL1050.Contig1	0	0	0	0	0	0	0	0	0
CL1050.Contig2	133	147	102	115	100	98	124	99	139
CL1051.Contig1	19	34	14	10	28	15	6	3	0
CL1051.Contig10	44	18	37	32	17	24	24	38	31
CL1051.Contig11	43	30	49	34	38	32	31	45	36
CL1051.Contig2	17	0	32	30	11	44	36	40	33
CL1051.Contig3	0	17	0	0	22	10	3	0	0
CL1051.Contig4	0	0	3	0	6	1	0	0	0
CL1051.Contig5	0	26	11	0	33	0	35	0	0
CL1051.Contig6	0	0	14	0	3	3	0	0	3
CL1051.Contig7	2	9	2	0	13	16	15	4	6
CL1051.Contig8	25	7	16	39	0	26	0	34	26
CL1051.Contig9	0	0	0	0	0	1	0	0	0
CL1052.Contig1	133	119	152	92	152	132	133	90	111
CL1052.Contig2	49	66	61	63	65	43	52	102	59
CL1053.Contig1	117	114	133	125	128	127	138	120	127
CL1053.Contig2	51	34	52	40	40	53	39	33	29
CL1054.Contig1	28	25	32	18	33	25	44	23	21
CL1054.Contig10	0	0	0	0	0	0	0	0	0
CL1054.Contig11	0	0	0	0	0	0	0	0	9
CL1054.Contig12	2	0	0	0	3	0	0	3	0
