baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
CRO_T100284	17.56660156	-0.268756029	0.554629658	-0.484568441	0.627982505	0.9998771
CRO_T136326	7.001647033	-0.416927233	0.860434951	-0.484554042	0.627992721	1
CRO_T113272	16.56925541	-0.278518821	0.574807989	-0.484542363	0.628001007	0.9998771
CRO_T133514	61.52286752	-0.156488465	0.322985257	-0.484506528	0.628026433	0.9998771
CRO_T131095	14.19749278	-0.298494898	0.616181087	-0.484427232	0.628082696	0.9998771
CRO_T102045	14.18396817	-0.296629504	0.612667488	-0.484160675	0.628271844	0.9998771
CRO_T109007	27.33155882	-0.218676773	0.451710397	-0.484108345	0.628308979	0.9998771
CRO_T133004	10.79104855	-0.341240815	0.705256491	-0.48385349	0.62848985	1
CRO_T113410	36.75307067	-0.191515051	0.395909078	-0.483734933	0.628573998	0.9998771
CRO_T105594	6.998722096	-0.417666285	0.864005075	-0.483407213	0.628806628	1
CRO_T117120	19.97231589	-0.260371926	0.538843356	-0.483205228	0.628950024	0.9998771
CRO_T124558	16.57224116	-0.278197419	0.576299476	-0.482730646	0.629287	0.9998771
CRO_T100709	18.57709806	-0.260149911	0.539189219	-0.482483518	0.629462504	0.9998771
CRO_T138933	47.49452527	-0.176985642	0.367037588	-0.48220032	0.62966365	0.9998771
CRO_T115782	17.56558603	-0.268856651	0.557596364	-0.482170739	0.629684662	0.9998771
CRO_T118275	6.99770657	-0.417926866	0.86696928	-0.482054988	0.629766884	1
CRO_T135887	6.99770657	-0.417926866	0.86696928	-0.482054988	0.629766884	1
CRO_T119631	6.999737623	-0.417410529	0.867086115	-0.481394549	0.63023611	1
CRO_T133071	6.995362082	-0.415002993	0.862675353	-0.481065086	0.630470241	1
CRO_T121914	5.605909573	-0.459831693	0.957812904	-0.480085089	0.63116689	1
CRO_T113470	32.34811939	-0.198882922	0.414334808	-0.480005344	0.631223593	0.9998771
CRO_T101664	44.69235276	-0.170828454	0.355985891	-0.479874225	0.63131683	0.9998771
CRO_T137721	153.1877453	-0.103321092	0.215432672	-0.479598064	0.631513223	0.9998771
CRO_T129549	15.18417844	-0.283805415	0.591953275	-0.47943888	0.63162644	0.9998771
CRO_T111612	4.212142345	-0.530272246	1.106914225	-0.479054505	0.631899854	1
CRO_T120029	7.019547181	-0.423063214	0.884305503	-0.478412961	0.632356311	1
CRO_T106163	11.78401916	-0.319968321	0.668867824	-0.47837302	0.632384733	0.9998771
CRO_T116055	11.78401916	-0.319968321	0.668867824	-0.47837302	0.632384733	0.9998771
CRO_T116814	17.55994235	-0.266541694	0.557402483	-0.478185337	0.632518298	0.9998771
CRO_T112598	231.2366138	-0.08488407	0.177538358	-0.478116791	0.632567082	0.9998771
CRO_T136733	36.71009153	-0.18862977	0.394834084	-0.477744394	0.632832143	0.9998771
CRO_T136488	19.56969441	-0.250147791	0.523630115	-0.477718496	0.632850578	0.9998771
CRO_T107838	5.599624622	-0.457467027	0.957621171	-0.477711898	0.632855275	1
CRO_T120415	23.9528659	-0.227881666	0.477430802	-0.477308262	0.633142629	0.9998771
CRO_T133707	22.95771886	-0.23633733	0.495379444	-0.477083441	0.633302706	0.9998771
CRO_T110017	21.99860205	-0.245039765	0.513683979	-0.477024348	0.633344784	0.9998771
CRO_T117807	9.396700875	-0.358072459	0.750989589	-0.476800829	0.633503955	1
CRO_T140874	27.34624433	-0.217724367	0.456844369	-0.476583235	0.633658924	0.9998771
CRO_T131930	61.00112167	-0.148954329	0.312581164	-0.476530086	0.633696778	0.9998771
CRO_T131708	10.77155243	-0.33976736	0.71308423	-0.476475773	0.633735463	1
CRO_T131358	14.17133745	-0.294639589	0.618568036	-0.476325273	0.633842663	0.9998771
CRO_T101812	23.96085407	-0.230496013	0.484123533	-0.476109914	0.633996075	0.9998771
CRO_T117770	32.32494982	-0.196966587	0.413728643	-0.476076748	0.634019701	0.9998771
CRO_T137483	9.392386156	-0.356238897	0.748428905	-0.475982281	0.634087002	1
CRO_T108395	5.59765439	-0.458088711	0.962550612	-0.475911298	0.634137573	1
CRO_T124838	19.56436417	-0.24933592	0.523965505	-0.475863234	0.634171817	0.9998771
CRO_T130928	73.03411999	-0.140774654	0.295948472	-0.475672854	0.634307463	0.9998771
CRO_T140402	19.56537969	-0.249245922	0.524019147	-0.475642777	0.634328895	0.9998771
CRO_T136450	19.56975523	-0.250143469	0.526261916	-0.475321244	0.634558019	0.9998771
CRO_T119386	9.390415924	-0.356606327	0.750700798	-0.475031234	0.634764711	1
CRO_T103080	33.33822588	-0.195719175	0.412096298	-0.474935532	0.634832924	0.9998771
CRO_T121680	32.31573993	-0.196670166	0.414121086	-0.474909809	0.634851259	0.9998771
CRO_T110279	55.65082147	-0.152334812	0.320861572	-0.474768016	0.634952332	0.9998771
CRO_T111519	32.33807644	-0.198639939	0.418962927	-0.474122951	0.635412233	0.9998771
CRO_T117273	23.95462994	-0.229883788	0.484956304	-0.4740299	0.635478585	0.9998771
CRO_T133479	122.6639705	-0.109147885	0.230312016	-0.473913115	0.635561866	0.9998771
CRO_T105195	4.199572443	-0.524070268	1.106807293	-0.473497303	0.635858425	1
CRO_T110737	4.199572443	-0.524070268	1.106807293	-0.473497303	0.635858425	1
CRO_T114945	20.57486067	-0.242499486	0.512243232	-0.473406911	0.635922901	0.9998771
CRO_T104241	19.55712451	-0.248689647	0.525345183	-0.47338332	0.635939728	0.9998771
CRO_T139228	36.32032966	-0.185246478	0.39143299	-0.473252084	0.636033343	0.9998771
CRO_T101529	19.55807922	-0.248605054	0.525395389	-0.473177076	0.636086851	0.9998771
CRO_T117834	27.3319939	-0.219597521	0.46452245	-0.47273823	0.636399948	0.9998771
CRO_T105526	24.96749466	-0.223846053	0.473703982	-0.472544167	0.636538424	0.9998771
CRO_T129034	26.94689831	-0.212318961	0.449367181	-0.472484351	0.636581109	0.9998771
CRO_T113574	4.209217408	-0.531584594	1.125093819	-0.472480236	0.636584045	1
CRO_T137919	5.593339671	-0.455080645	0.964398761	-0.471880163	0.637012328	1
CRO_T104531	26.94791384	-0.212253673	0.449824897	-0.471858437	0.637027837	0.9998771
CRO_T136773	79.59672567	-0.132259792	0.280303829	-0.4718444	0.637037857	0.9998771
CRO_T124256	20.57625045	-0.243622814	0.517099859	-0.471133012	0.637545752	0.9998771
CRO_T141038	27.95009434	-0.20815209	0.441958996	-0.470976022	0.637657858	0.9998771
CRO_T129478	12.78721519	-0.302528854	0.642345582	-0.470975224	0.637658428	0.9998771
CRO_T133402	12.79254543	-0.303753469	0.644980805	-0.470949626	0.637676708	0.9998771
CRO_T117717	32.32353631	-0.197832714	0.42011373	-0.470902757	0.637710179	0.9998771
CRO_T102088	16.1902994	-0.271930266	0.577873352	-0.470570697	0.637947337	0.9998771
CRO_T126612	5.596699685	-0.458393023	0.974391988	-0.470440058	0.638040651	1
CRO_T123468	27.95003351	-0.208157171	0.44313739	-0.469735065	0.638544312	0.9998771
CRO_T117993	39.32064703	-0.178180934	0.379489588	-0.46952786	0.638692376	0.9998771
CRO_T122826	12.7905752	-0.304028239	0.647627394	-0.469449319	0.638748503	0.9998771
CRO_T125243	12.7905752	-0.304028239	0.647627394	-0.469449319	0.638748503	0.9998771
CRO_T136584	24.94546225	-0.221292888	0.471505465	-0.469332605	0.638831913	0.9998771
CRO_T104033	12.78093024	-0.30143774	0.643099644	-0.468726337	0.639265259	0.9998771
CRO_T124607	5.595309903	-0.454434287	0.969536611	-0.468712869	0.639274887	1
CRO_T118260	5.614225578	-0.461626915	0.985886359	-0.468235421	0.639616244	1
CRO_T117073	39.31969232	-0.178226601	0.380658648	-0.468205837	0.639637398	0.9998771
CRO_T128557	12.78727601	-0.302521228	0.646170488	-0.468175556	0.639659051	0.9998771
CRO_T131473	140.7272898	-0.101245231	0.216459358	-0.467733212	0.639975388	0.9998771
CRO_T125667	34.3032163	-0.189504169	0.405177681	-0.467706338	0.639994608	0.9998771
CRO_T120102	12.78188494	-0.301306316	0.644484738	-0.467515052	0.640131426	0.9998771
CRO_T127263	21.56148551	-0.234707568	0.502046174	-0.467501956	0.640140793	0.9998771
CRO_T105027	12.79014012	-0.302130988	0.646315323	-0.46746685	0.640165904	0.9998771
CRO_T112405	16.18349482	-0.272680225	0.583366823	-0.467424978	0.640195855	0.9998771
CRO_T123719	11.77341949	-0.317272632	0.679422554	-0.466973947	0.640518518	0.9998771
CRO_T135946	4.196647506	-0.525295581	1.125004265	-0.466927635	0.640551653	1
CRO_T117009	45.30269391	-0.164698854	0.352812853	-0.466816479	0.640631185	0.9998771
CRO_T135990	27.93256844	-0.207419668	0.444545182	-0.466588496	0.640794319	0.9998771
CRO_T104796	8.003888352	-0.377293584	0.809042988	-0.466345533	0.640968191	1
